a,b,c,d
0.467925434834,1.04048208902,-0.433221398191,2.06379418579
1.12171628978,-0.900749572669,-1.37155546126,-0.44522795505
1.58106353935,-0.0696695413342,1.33549680225,-0.328461716965
1.27634193919,-0.115191573538,1.14405830804,0.0345331147018
-0.804302545896,0.322333155541,0.821381579094,0.406507865211
-0.398200522598,-2.9216383515,0.368126263819,1.37226769435
-0.00422726148475,1.09282305654,-0.42912544812,0.763057938597
0.232138154894,-1.24233128594,-0.882697895057,0.585501775133
0.36718085811,-1.27506554166,0.471619486288,0.785108850168
2.5268595262,-0.326110854728,-0.868901371982,-0.481470684112
0.746262220898,0.422697783746,0.532934293159,-0.0217914516613
-0.341457336033,-0.0175527276817,-0.677038229259,0.0747739675064
0.784542115767,-0.541239155956,-0.389572488437,-0.105944208035
-0.0616865327365,-0.391520893578,-1.31853630144,-0.664043675965
0.393375902734,-0.664703308402,1.40997941234,-0.554790978407
1.35436732346,2.15640219991,-0.569465798357,-0.935626285174
0.475315726566,-0.588011346616,-0.601411117493,-0.728312557971
0.011374279743,0.519019565264,-0.675438761467,0.327410287388
0.00670719192761,0.975264543262,-0.556122949737,0.498661993115
-0.335912551283,-0.623323219582,-2.08759701409,-1.47417377102
-2.30015299421,-1.51065508591,0.967366430067,1.16154231786
-0.0437087355925,0.322223651114,-0.198656829105,-0.546664153221
1.05203779518,-0.525646912919,-1.3343816187,-0.377830060159
-1.80450170313,-0.473101609791,-1.08971323833,-0.141157125852
0.735818669348,0.506170095035,-1.01668748931,-0.308204719353
2.45234745464,-0.316524728473,-0.0871922767179,0.931970225915
-2.55653051983,-1.01336991263,0.676593775324,-0.0833997292196
0.800976061357,-0.628559871818,-0.947516394279,1.66181896652
0.798554221955,0.480426075408,1.35729697247,0.555328035399
1.51836578227,2.16996186687,0.0334518314963,1.15596597254
0.00656451221253,0.739110990338,2.05689219076,-0.713518522115
-0.735967921463,-0.760576709959,0.882338106885,-0.41044453187
-0.092843228774,0.0618508047186,-0.374318006107,0.84560209344
-0.322263877399,-0.905552140248,1.79517542452,-0.131625360314
-0.736099395774,0.39525110096,-0.583836254212,-0.107071116212
-0.286494187957,0.795145190882,0.556041684324,-1.33701720815
-0.0584172526533,0.323852461342,-1.03088358151,1.75903170294
1.44268490201,-1.31338564422,-0.0982473363326,1.24157805146
-0.468403367709,-0.142255102646,1.00422350105,1.08056291637
2.69832109046,-0.286998889604,-1.73886545245,1.15508013398
0.180881166785,-1.11074378763,0.344765331061,-0.459572668657
0.411842943815,-0.0365984080481,-0.61203372902,2.5432736903
2.25987523784,-0.48159536018,0.297071850969,-1.25921927914
2.79677149703,0.897260983284,-0.50861484689,0.0106476083991
-0.324786311648,-0.0200362634171,1.49334479716,0.615782766189
-0.691747563622,0.448998671802,-1.14543988329,1.15346974573
0.819016845669,0.775755586304,0.41149733654,-0.435472407272
-0.0587162684567,-0.32239689528,-0.921636071507,0.8636869807
-0.323468359174,-2.4412343213,-0.671635569938,-1.13569493528
-0.121974831249,0.403399650894,0.641664470444,0.711023413242
-0.0185170369471,-3.08285742846,-0.583330958858,-0.196727638917
0.655677724171,-0.0391017937775,-0.179295081761,0.376945063081
-0.385355135891,0.237784157267,0.678382375927,0.357663777545
-1.09973092191,0.430351878171,1.37659300204,-0.60235889258
-0.84410667158,0.639064744092,-0.0411925269841,0.275122231498
-1.52381068426,0.688882189733,-0.101063388977,-0.0490462560371
2.04245930527,-1.3262615713,-1.63674376528,-0.772023017295
-0.353108337234,0.411496673512,-0.944129259557,-1.10683480302
0.0494859550404,-0.586170701248,-1.37815712618,-1.31832757287
0.864084325638,0.826480545417,2.23807840482,0.460543759476
-1.01792028272,-0.454431895922,-1.22621372682,-0.627516601127
-0.30377184013,-0.366853054879,0.427219190751,-1.16277609687
-1.39361646222,0.487389025859,-0.852207273938,-0.18532866337
-0.752483474054,-0.97283615544,-0.886817424191,-1.35799082218
